Participant_ID,trialN,blockN,moveCount,movesTrial,reward,RT,time_out,sequence_ID
1,18.0,13.0,4.0,"[1, 1, 2, 2]",70.0,945.0400000000373,0,19.0
1,19.0,13.0,4.0,"[1, 1, 2, 2]",70.0,959.160000000149,0,19.0
1,0.0,14.0,4.0,"[0, 1, 1, 0]",98.0,1138.5400000000373,0,4.0
1,1.0,14.0,4.0,"[0, 1, 1, 0]",88.0,1078.839999999851,0,4.0
1,2.0,14.0,4.0,"[0, 1, 1, 0]",100.0,981.2200000002049,0,4.0
1,3.0,14.0,4.0,"[0, 1, 1, 0]",88.0,902.5999999996275,0,4.0
1,4.0,14.0,4.0,"[0, 1, 1, 0]",100.0,901.6599999996834,0,4.0
1,5.0,14.0,4.0,"[0, 1, 1, 0]",100.0,977.9199999999255,0,4.0
1,6.0,14.0,4.0,"[0, 1, 1, 0]",94.0,781.660000000149,0,4.0
1,7.0,14.0,4.0,"[0, 1, 1, 0]",92.0,1079.779999999795,0,4.0
1,8.0,14.0,4.0,"[0, 1, 1, 0]",96.0,859.0200000000186,0,4.0
1,9.0,14.0,4.0,"[0, 1, 1, 0]",90.0,831.4799999999814,0,4.0
1,10.0,14.0,4.0,"[0, 1, 1, 0]",82.0,853.1200000001118,0,4.0
1,11.0,14.0,4.0,"[0, 1, 1, 0]",74.0,752.2000000001863,0,4.0
1,12.0,14.0,4.0,"[0, 1, 1, 0]",74.0,858.6199999996461,0,4.0
1,13.0,14.0,4.0,"[0, 1, 1, 0]",80.0,825.2400000002235,0,4.0
1,14.0,14.0,4.0,"[1, 1, 2, 1]",78.0,5299.120000000112,0,18.0
1,15.0,14.0,4.0,"[1, 1, 2, 1]",86.0,1791.5600000005215,0,18.0
1,16.0,14.0,4.0,"[1, 1, 2, 1]",94.0,1993.6599999996834,0,18.0
1,17.0,14.0,4.0,"[1, 1, 2, 1]",88.0,1922.2400000002235,0,18.0
1,18.0,14.0,4.0,"[0, 1, 1, 0]",92.0,1016.320000000298,0,4.0
1,19.0,14.0,4.0,"[0, 1, 1, 0]",90.0,811.5399999995716,0,4.0
1,0.0,15.0,4.0,"[0, 1, 1, 0]",92.0,1185.4799999999814,0,4.0
1,1.0,15.0,4.0,"[0, 1, 1, 0]",98.0,782.8199999998324,0,4.0
1,2.0,15.0,4.0,"[0, 1, 1, 0]",90.0,764.6399999996647,0,4.0
1,3.0,15.0,4.0,"[0, 1, 1, 0]",88.0,995.839999999851,0,4.0
1,4.0,15.0,4.0,"[0, 1, 1, 0]",96.0,861.6200000001119,0,4.0
1,5.0,15.0,4.0,"[0, 1, 1, 0]",98.0,1695.5200000000186,0,4.0
1,6.0,15.0,4.0,"[0, 1, 1, 0]",88.0,858.6400000001304,0,4.0
